282578800148862,72075463249453312,12
565157600297596,18014742113157696,11
1130315200595066,9583695196130914496,11
2260630401190006,180152781524435584,11
4521260802379886,144150518480005124,11
9042521604759646,216177180177072648,11
18085043209519166,72067490783527424,11
36170086419038334,2377901161601573632,12
282578800180736,288371115810635776,11
565157600328704,70370086363138,10
1130315200625152,18296080181559616,10
2260630401218048,4621396973918947328,10
4521260802403840,281492426588416,10
9042521604775424,19281053085204608,10
18085043209518592,985712191080960,10
36170086419037696,2323998159186952576,11
282578808340736,9241809197606109344,11
565157608292864,150083874471938,10
1130315208328192,4616190168347475986,10
2260630408398848,2882313657390245120,10
4521260808540160,144169064279868672,10
9042521608822784,576469552960643136,10
18085043209388032,72480356359471360,10
36170086418907136,1801512418720090241,11
282580897300736,18014572455952448,11
565159647117824,218459767374348352,10
1130317180306432,316661497332608,10
2260632246683648,865052872077742080,10
4521262379438080,581245899922472964,10
9042522644946944,9224497956090151040,10
18085043175964672,52793738535429,10
36170086385483776,49772700958491329,11
283115671060736,180146046683317320,11
565681586307584,4688248449047462336,10
1130822006735872,145540157301350401,10
2261102847592448,9241430417985245184,10
4521664529305600,10448641408725163008,10
9042787892731904,576601498390103040,10
18085034619584512,2307250403508511232,10
36170077829103616,16717643858745236545,11
420017753620736,1155209041769693184,11
699298018886144,9007612914122753,10
1260057572672512,1161930971679850528,10
2381576680245248,4616190172106065920,10
4624614895390720,2823546078298128,10
9110691325681664,1153202996763623432,10
18082844186263552,2542075988148290,10
36167887395782656,289427198857838596,11
35466950888980736,36029898782941440,11
34905104758997504,9224638811693126784,10
34344362452452352,143083647808000,10
33222877839362048,108103983377186944,10
30979908613181440,80554641397907712,10
26493970160820224,4785641540297472,10
17522093256097792,189399708388557824,10
35607136465616896,9511603804592835072,11
9079539427579068672,2308130543223504961,12
8935706818303361536,9232521074183254311,11
8792156787827803136,2401543852679169,11
8505056726876686336,216177321895264393,11
7930856604974452736,5803169629203632147,11
6782456361169985536,2306124518588153881,11
4485655873561051136,571748495986692,11
9115426935197958144,54047061540144130,12
18049651735527936,459402492498214948,6
70506452091904,4523399969898496,5
275415828992,40608264040350217,5
1075975168,9225632912068640769,5
38021120,4904719336650834192,5
8657588224,571763294544002,5
2216338399232,4611968662977642562,5
567382630219776,72602211127296,6
9024825867763712,70403238199360,5
18049651735527424,288232644465000514,5
70506452221952,37392593584144,5
275449643008,144133896961792002,5
9733406720,4415813591044,5
2216342585344,2485994863234913280,5
567382630203392,5193815876376209536,5
